NAMA_CABANG,CRAETED_DATE,UPDATE_DATE,KODE_REGIONAL,KODE_TERMINAL,KODE_SAP,PROFIT_CENTER,FLAG_APPROVE,ID_CABANG
JPPI Site Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,14,5614,56014,2,5614
JPPI Site Galangan Jkt,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,056,15,5615,56015,2,5615
PT MTI HEAD OFFICE,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,0,6201,62001,2,6201
MTI Logistik Regional 1,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,20,6202,62020,2,6220
MTI Area Freight Frwardg,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,21,62020,62021,2,6221
MTI Area Alat B/M,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,22,62020,62022,2,6222
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,23,62020,62023,2,6223
MTI Area CDC Banda,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,24,62020,62024,2,6224
MTI Area 215X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,25,62020,62025,2,6225
MTI Area Utep Pasoso,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,26,62020,62026,2,6226
MTI Area HLC,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,27,62020,62027,2,6227
MTI Area Common,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,28,62020,62028,2,6228
MTI Area 221X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,29,62020,62029,2,6229
MTI Area 225X,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,30,62020,62030,2,6230
MTI Area EKS.TJETOT,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,31,62020,62031,2,6231
MTI Area Lap Ex Trisari,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,32,62020,62032,2,6232
MTI Area Lap Ex Glorius,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,33,62020,62033,2,6233
MTI Area Gudang Ex Arsa,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,34,62020,62034,2,6234
MTI Area Lap Ex Arsa,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,35,62020,62035,2,6235
MTI Area Lap 005S,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,36,62020,62036,2,6236
MTI Logistik Regional 2,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,50,6203,62050,2,6250
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,51,62030,62051,2,6251
MTI Area Surabaya,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,52,62030,62052,2,6252
MTI Area Semarang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,53,62030,62053,2,6253
MTI Area LapCY Tg.Emas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,54,62030,62054,2,6254
MTI Area Lap FumgasiTMas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,55,62030,62055,2,6255
MTI Area Bali,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,56,62030,62056,2,6256
MTI Area Pontianak,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,57,62030,62057,2,6257
MTI Area Makassar,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,58,62030,62058,2,6258
MTI Area Depo Unggul Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,59,62030,62059,2,6259
MTI Area Gudang CFS Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,60,62030,62060,2,6260
MTI Area Eks Plb Tj Mas,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,61,62030,62061,2,6261
MTI Area Konsolidasi Sby,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,62,62030,62062,2,6262
Area Lap CCDC Ambon,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,63,62030,62063,2,6263
MTI Area Lapangan CCDC 2,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,64,62030,62064,2,6264
MTI Area Lapangan CCDC 4,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,65,62030,62065,2,6265
MTI Area Lap Banjarmasin,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,66,62030,62066,2,6266
MTI Logistik Regional 3,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,80,6204,62080,2,6280
MTI Area BO,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,81,62040,62081,2,6281
MTI Area Jambi,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,82,62040,62082,2,6282
MTI Area Palembang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,83,62040,62083,2,6283
MTI Area Tanjung Pandan,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,84,62040,62084,2,6284
MTI Area Lampung,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,85,62040,62085,2,6285
MTI Area Padang,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,86,62040,62086,2,6286
MTI Area Natuna,Tue Aug 20 2024 09:27:48 GMT+0700 (Western Indonesia Time),,062,87,62040,62087,2,6287
REGIONAL 4,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,0,2501,20501,1,401
CABANG MAKASSAR,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,1,2502,20502,1,402
TERMINAL PETIKEMAS MAKASSAR,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,26,25020,20525,1,403
CABANG SAMARINDA,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,6,2503,20503,1,404
CABANG BALIKPAPAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,2,2504,20504,1,405
CABANG BITUNG,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,4,2505,20505,1,406
TERMINAL PETIKEMAS BITUNG,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,28,25020,20526,1,407
CABANG AMBON,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,7,2506,20506,1,408
CABANG SORONG,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,9,2507,20507,1,409
CABANG JAYAPURA,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,10,2508,20508,1,410
CABANG TARAKAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,11,2509,20509,1,411
CABANG PANTOLOAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,12,2517,20517,1,412
CABANG TERNATE,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,14,2510,20510,1,413
CABANG KENDARI,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,16,2511,20511,1,414
CABANG BONTANG & LHOKTUAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,23,2512,20512,1,415
CABANG PAREPARE,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,15,2513,20513,1,416
CABANG BIAK,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,17,2514,20514,1,417
CABANG MERAUKE,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,18,2515,20515,1,418
CABANG MANOKWARI,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,19,2516,20516,1,419
CABANG NUNUKAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,22,2522,20522,1,420
CABANG TANJUNG REDEB,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,27,2524,20524,1,421
CABANG GORONTALO,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,21,2518,20518,1,422
CABANG FAKFAK,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,20,2519,20519,1,423
CABANG TOLITOLI,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,13,2520,20520,1,424
CABANG MANADO,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,5,2521,20521,1,425
UPK SANGATTA,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,24,2523,20523,1,426
SBU MARINE SERVICE,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,29,20528,20528,1,427
SBU PROPERTI NON KEPELABUHAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,428
SBU KETENAGAKERJAAN,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,429
ANPER KKT,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,451
ANPER EII,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,452
ANPER NTS,Fri May 24 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,453
DUMMY,Wed Aug 07 2019 00:00:00 GMT+0700 (Western Indonesia Time),,67,,,,1,499
REGIONAL 3,Thu Jun 15 2023 00:00:00 GMT+0700 (Western Indonesia Time),,66,0,1011,12101,1,300
TERMINAL NILAM MIRAH,Tue Jun 27 2023 14:03:01 GMT+0700 (Western Indonesia Time),,660,122,1023,12204,1,343
KAWASAN PANARUKAN,Tue Jun 27 2023 14:07:42 GMT+0700 (Western Indonesia Time),,66,123,1042,20702,1,344
PANGKALAN BUN,Tue Jun 27 2023 14:09:34 GMT+0700 (Western Indonesia Time),,66,124,1183,20707,1,345
SUB REGIONAL JAWA TIMUR,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,660,301,1020,12201,1,346
KAWASAN PASURUAN,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,66,126,1043,20703,1,347
KAWASAN BASIRI,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,66,127,1155,20708,1,348
KAWASAN KUALA KAPUAS,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,66,128,1153,20705,1,349
SUB REGIONAL JAWA TENGAH,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,660,8,1060,20706,1,350
KAWASAN SATUI,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,66,130,1166,20701,1,351
KAWASAN IPPI,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,66,131,1145,20704,1,352
SUB REGIONAL KALIMANTAN,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,662,0,1160,12501,1,353
SUB REGIONAL BALI NUSRA,Tue Jun 27 2023 14:12:57 GMT+0700 (Western Indonesia Time),,663,0,1090,12401,1,354
HEAD OFFICE REGIONAL 1,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,0,2201,20201,1,101
CABANG BELAWAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,60,2202,20202,1,102
KAWASAN PANGKALAN SUSU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,37,2203,20203,1,103
CABANG DUMAI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,71,2204,20204,1,104
KAWASAN BENGKALIS   ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,26,2205,20205,1,105
KAWASAN BAGAN SIAPI-API,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,101,2206,20206,1,106
CABANG TANJUNG PINANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,41,2207,20207,1,107
KAWASAN SEI KOLAK KIJANG  ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,102,2208,20208,1,108
KAWASAN TANJUNG UBAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,104,2209,20209,1,109
CABANG PEKANBARU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,42,2210,20210,1,110
CABANG TANJUNG BALAI KARIMUN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,43,2211,20211,1,111
KAWASAN SELAT PANJANG  ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,46,2212,20212,1,112
CABANG KUALA TANJUNG ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,36,2213,20213,1,113
CABANG PELABUHAN BATAM,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,103,2214,20214,1,114
KAWASAN SAMBU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,47,2215,20215,1,115
CABANG PELABUHAN SEI PAKNING ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,105,2216,20216,1,116
CABANG PELABUHAN SIBOLGA ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,106,2217,20217,1,117
CABANG PELABUHAN MALAHAYATI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,48,2218,20218,1,118
KAWASAN MELABOH,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,49,2219,20219,1,119
CABANG PELABUHAN LHOKSEUMAWE,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,50,2220,20220,1,120
KAWASAN KUALA LANGSA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,55,2221,20221,1,121
CABANG PELABUHAN TG. BALAI ASAHAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,38,2222,20222,1,122
CABANG TEMBILAHAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,59,2223,20223,1,123
KAWASAN KUALA ENOK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,23,2224,20224,1,124
KAWASAN RENGAT,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,75,2225,20225,1,125
CABANG PELABUHAN GUNUNG SITOLI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,28,2226,20226,1,126
UNIT GALANGAN KAPAL,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,107,2227,20227,1,127
CABANG TPK BELAWAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,72,60,2228,20228,1,128
HEAD OFFICE REGIONAL 2 ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,0,2301,20301,1,201
CABANG TANJUNG PRIOK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,201,2302,20302,1,202
CABANG PANJANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,202,2303,20303,1,203
CABANG TELUK BAYUR,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,203,2304,20304,1,204
CABANG PALEMBANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,204,2305,20305,1,205
CABANG PONTIANAK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,205,2306,20306,1,206
CABANG CIREBON ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,206,2307,20307,1,207
CABANG SUNDA KELAPA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,207,2308,20308,1,208
CABANG BANTEN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,208,2309,20309,1,209
CABANG BENGKULU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,209,2310,20310,1,210
CABANG JAMBI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,210,2311,20311,1,211
CABANG PANGKAL BALAM  ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,211,2312,20312,1,212
CABANG TANJUNG PANDAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,212,2313,20313,1,213
KAWASAN TERMINAL KIJING ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,213,23060,20314,1,214
KAWASAN SINTETE,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,214,23060,20315,1,215
KAWASAN KETAPANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,215,23060,20316,1,216
KAWASAN BOJONEGORO  ,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,216,23090,20317,1,217
KAWASAN MUARA SABAK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,217,23110,20318,1,218
KAWASAN KUALA TUNGKAL,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,218,23110,20319,1,219
KAWASAN MUNTOK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,219,23120,20320,1,220
KAWASAN PERAIRAN MANGGAR-BELITUNG TIMUR,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,65,220,23130,20321,1,221
PROPERTY TANJUNG PERAK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,66,2,10210,12202,1,302
SUB REGIONAL JAWA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,0,1021,12203,1,303
JAMRUD,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,302,1022,12205,1,305
KALIMAS,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,88,1024,12206,1,306
TELUK LAMONG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,96,10210,12207,1,307
APBS,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,95,10210,12208,1,308
GRESIK,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,3,1031,12209,1,309
KALIANGET,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,8,1032,12210,1,310
TG TEMBAGA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,303,1041,12211,1,311
PATIMBAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,304,10210,12212,1,312
TANJUNG WANGI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,7,1051,12213,1,313
TANJUNG EMAS,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,9,1061,12302,1,315
TEGAL,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,10,1062,12303,1,316
TPKS,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,305,1071,12304,1,317
TANJUNG INTAN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,660,11,1081,12305,1,318
BENOA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,12,1091,12402,1,320
CELUKAN BAWANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,14,1101,12403,1,321
LEMBAR,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,15,1111,12405,1,323
BIMA,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,17,1121,12406,1,324
BADAS,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,16,1122,12407,1,325
MAUMERE,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,21,1131,12408,1,326
KUPANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,18,1141,12409,1,327
ENDE-IPPI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,20,1144,12410,1,328
WAINGAPU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,19,1143,12411,1,329
KALABAHI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,34,1142,12412,1,330
LABUAN BAJO,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,663,22,1146,12413,1,331
TPKB,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,306,1156,12502,1,333
TRISAKTI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,307,1151,12503,1,334
PULANG PISAU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,27,1152,12504,1,335
KOTABARU,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,25,1161,12505,1,336
BATU LICIN,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,52,1162,12506,1,337
MEKAR PUTIH,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,307,1163,12507,1,338
SAMPIT,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,29,1171,12508,1,339
BAGENDANG,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,758,1174,12509,1,340
KUMAI,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,31,1181,12510,1,341
BUMIHARJO,Thu May 25 2023 10:43:33 GMT+0700 (Western Indonesia Time),,662,33,1182,12511,1,342
HEAD OFFICE,Thu May 25 2023 00:00:00 GMT+0700 (Western Indonesia Time),,0,0,2011,20101,1,
